mtknr;abschl;stg;pversion;psem;pnr;pltxt1
ca1e0d5fadd6b90f1bae378936aed07a;84;IM;222;20242;622223030;Informations- und Kommunikationstechnik
7f0023657b83d005910b32f3761ae19d;84;IM;222;20242;622223030;Informations- und Kommunikationstechnik
6e17d2527caa8a2da03c698d8f2fd91c;84;IM;222;20242;622223030;Informations- und Kommunikationstechnik
dab970eb347af593cca3b856169e4182;84;IM;222;20242;622223030;Informations- und Kommunikationstechnik
b37006ef2a6cc07125c687a3e409b596;84;IM;222;20242;622223030;Informations- und Kommunikationstechnik
9395c366d5a9e4ab302c5223f2be5e89;84;IM;222;20242;622223030;Informations- und Kommunikationstechnik
fa59c894a76ab85fea40dc564c0ed3be;84;IM;222;20242;622223030;Informations- und Kommunikationstechnik
3764fb71d7e930f75bb29674afb97842;84;IM;222;20242;622223030;Informations- und Kommunikationstechnik
da2a60e6b87b40f326e8926889166718;84;IM;222;20242;622223030;Informations- und Kommunikationstechnik
96b3967bde48369fcaf650952e3a7c3b;84;IM;222;20242;622223030;Informations- und Kommunikationstechnik
680bab53cb82fdde2aac7a80be4372cc;84;IM;222;20242;622223030;Informations- und Kommunikationstechnik
6c12dc78e3401fbf59a3fff3b76bf25c;84;IM;222;20242;622223030;Informations- und Kommunikationstechnik
b91aecec1b344a7d0dada020f1177c18;84;IM;222;20242;622223030;Informations- und Kommunikationstechnik
6d12a3d6f9a01aa2a74a5d4fe5cf9664;84;IM;222;20242;622223040;Recht 1
2df621b43f4ee24076c4de0bab902315;84;IM;222;20242;622223040;Recht 1
af14672f5adccc20f99addfbbb713e14;84;IM;222;20242;622223040;Recht 1
ea5b9c649f9d9161c496b75f8754bcab;84;IM;222;20242;622223040;Recht 1
cbd04dc91dfcd23978069e8afc29fca3;84;IM;222;20242;622223040;Recht 1
1bdab4b8fca232685f21ace814d885dc;84;IM;222;20242;622223040;Recht 1
81517f35787bfb578f09f3524a43cfc5;84;IM;222;20242;622223040;Recht 1
ca1e0d5fadd6b90f1bae378936aed07a;84;IM;222;20242;622223040;Recht 1
7f0023657b83d005910b32f3761ae19d;84;IM;222;20242;622223040;Recht 1
6e17d2527caa8a2da03c698d8f2fd91c;84;IM;222;20242;622223040;Recht 1
dab970eb347af593cca3b856169e4182;84;IM;222;20242;622223040;Recht 1
b37006ef2a6cc07125c687a3e409b596;84;IM;222;20242;622223040;Recht 1
9395c366d5a9e4ab302c5223f2be5e89;84;IM;222;20242;622223040;Recht 1
