Fach 1;Lfd. Nr.;Fach 1;Fach 2;Datum / Uhrzeit;Kollisionen;Abstand
BAM-2223-17100-Algebra;;;;25 9:30-11:30;;;
;1;BAM-2223-17100-Algebra;BAM-2223-1222224050-Numerik;01 11:00-13:00;1;167
BAM-2223-1222224050-Numerik;;;;01 11:00-13:00;;;
;1;BAM-2223-1222224050-Numerik;BAM-2223-1222226030-Versicherungsbetriebslehre;07 8:30-10:00;1;139
;2;BAM-2223-1222224050-Numerik;BAM-2223-17100-Algebra;25 9:30-11:30;1;167
BAM-2223-1222226030-Versicherungsbetriebslehre;;;;07 8:30-10:00;;;
;1;BAM-2223-1222226030-Versicherungsbetriebslehre;BAM-2223-1222224050-Numerik;01 11:00-13:00;1;139
BAV-242-1262421030-Grundlagen der Digitalisierung;;;;05 14:00-16:00;;;
;1;BAV-242-1262421030-Grundlagen der Digitalisierung;BAV-242-1262421050-Einführung in die Betriebswirtschaftslehre;30 11:30-13:00;17;145
BAV-242-1262421050-Einführung in die Betriebswirtschaftslehre;;;;30 11:30-13:00;;;
;1;BAV-242-1262421050-Einführung in die Betriebswirtschaftslehre;BAV-242-1262421030-Grundlagen der Digitalisierung;05 14:00-16:00;17;145
BB-192-17130-Detailbereiche im Stahlbetonbau;;;;04 14:00-15:00;;;
;1;BB-192-17130-Detailbereiche im Stahlbetonbau;BB-192-17240-Schalung und Rüstung;01 9:00-10:00;2;076
;2;BB-192-17130-Detailbereiche im Stahlbetonbau;BB-192-17260-Betoninstandsetzung;29 14:00-15:00;5;143
;3;BB-192-17130-Detailbereiche im Stahlbetonbau;BB-192-17270-Nachhaltigkeitsmanagement;29 11:00-12:00;2;146
;4;BB-192-17130-Detailbereiche im Stahlbetonbau;BB-192-601924010-Geotechnik III;31 8:30-10:30;1;099
;5;BB-192-17130-Detailbereiche im Stahlbetonbau;BB-192-601924040-Verkehrswesen II;04 8:30-9:30;1;004
;6;BB-192-17130-Detailbereiche im Stahlbetonbau;BB-192-601926020-Baustatik II;07 9:00-12:00;6;066
;7;BB-192-17130-Detailbereiche im Stahlbetonbau;BB-192-601926020-Planung und Konstruktion I;30 11:00-13:00;2;121
;8;BB-192-17130-Detailbereiche im Stahlbetonbau;BB-192-601926030-Projektbasierte Produktion;04 11:00-13:00;2;001
